ID,Species,Taxid,RefID
SRR15115264.19227744,Xanthomonas_vesicatoria,56460,NZ_CP018470.1
SRR15115264.19228187,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19228187,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19230537,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115264.19230921,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19230921,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19230921,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19230921,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19231009,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19231009,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19231287,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19231287,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19237225,Xanthomonas_vesicatoria,56460,NZ_CP018470.1
SRR15115264.19237225,Xanthomonas_vesicatoria,56460,NZ_CP018470.1
SRR15115264.19241462,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19241462,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19242173,Xanthomonas_arboricola,56448,NZ_CP011256.1
SRR15115264.19242173,Xanthomonas_arboricola,56448,NZ_CP011256.1
SRR15115264.19243129,Xanthomonas_vesicatoria,56460,NZ_CP018470.1
SRR15115264.19244876,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19244876,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19244876,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19244876,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19245472,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115264.19246467,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19246467,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
